FORMULA	SMILES	INCHIKEY
C20H34O	[C@]123[C@H](C[C@](C[C@H]([C@@]([C@@]1(CCC2)[H])(C(CC3)C)C)O)(C)C=C)C	OPVUAGGKMBXOGV-IQWJVPKTSA-N	
C47H75NO17	C[C@@H]1OC(=O)CC(O)CC(O)CC(O)CCC(O)C(O)C[C@]2(O)CC(O)C(C(CC(O[C@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\CC\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(O)=O	VQOXZBDYSJBXMA-RKEBNKJGSA-N	
C16H18N2O7S2	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(c1ccccc1)S(O)(=O)=O)C(O)=O	JETQIUPBHQNHNZ-OAYJICASSA-N	
C25H43NO6	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](C)C[C@@H](C)C(=O)\C=C\[C@H]1C	DZGHWPQKGWXOHD-NHLONWFASA-N	
C8H15N2O4R2	CC(=O)N[C@H]1C[C@@H]([NH3+])[C@H](O[*])[C@@H](O)[C@@H]1O[*]		
C28H36N2O7	CCC(C)CC\C=C(/C)C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2=C(O)CCC2=O)[C@H](O)CC1=O	LTZQMADYCMVTKI-UVJPKDHBSA-N	
C30H40N2O7	CCCCC(C)CC(C)\C=C\C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2=C(O)CCC2=O)[C@H](O)CC1=O	VAHXVYDDBKCOFD-NGQXCVFISA-N	
C34H26Br6N4O8	O\N=C1/Cc2cc(Br)c(Oc3cc(C\C(C(=O)NCCc4ccc(Br)c(Oc5ccc(CCNC1=O)c(Br)c5O)c4Br)=N/O)cc(Br)c3O)c(Br)c2	PKTKAHOYUVDXHU-ADHDEERNSA-N	
C7H4NO3R3	[H][C@@]12C([*])C(=O)N1C(C(O)=O)=C([*])C2[*]		
C24H21F2NO3	[H][C@]1(CC[C@H](O)c2ccc(F)cc2)C(=O)N(c2ccc(F)cc2)[C@]1([H])c1ccc(O)cc1	OLNTVTPDXPETLC-XPWALMASSA-N	
C11H18N2O3S	C1(C(N2C1CC(C2C(O)=O)SCCN)=O)CC	OJZAYZYCCIMRRC-UHFFFAOYSA-N	
C10H16N2O3S	C1(C(N2C1CC(C2C(O)=O)SCCN)=O)C	RFDLXEYGELAYRI-UHFFFAOYSA-N	
C9H14N2O3S	C1C(N2C1CC(C2C(O)=O)SCCN)=O	WSFRFSBEAWNRAE-UHFFFAOYSA-N	
C7H12N2O4	OC([C@H]1NC([C@](CC1)(CN)O)=O)=O	ROTDGSCRRKYCRZ-FFWSUHOLSA-N	
C16H20N3O6S	N1[C@H](C(S[C@]1([H])[C@H](NC([C@@H](C2=CC=C(C=C2)O)N)=O)C(=O)O)(C)C)C([O-])=O	LHHKJQFIKHAUIA-MPPDQPJWSA-M	
C11H19N3O6	C[C@H]([C@H](NC([C@H]1NC([C@](CC1)(CN)O)=O)=O)C(=O)O)O	ZVGWGRIWDBHNIQ-WDOVLDDZSA-N	
C29H41N7O9S	N1[C@H](C(S[C@]1([H])[C@H](NC([C@@H](C2=CC=CC=C2)NC(N3CC(NC(C3=O)=O)CC)=O)=O)C(=O)NCCCC[C@@H](C(=O)O)N)(C)C)C(O)=O	MUXYQPRHGVEREQ-NBPNOZGJSA-N	
C25H31ClFN5O7S	N(C(=O)C=1C(=NOC1C)C2=C(C=CC=C2F)Cl)[C@@H]([C@@]3(N[C@H](C(S3)(C)C)C(O)=O)[H])C(=O)NCCCC[C@@H](C(=O)O)N	NOARVYOPBAIMKR-GJLBYMJHSA-N	
C22H33N5O7S	N1[C@H](C(S[C@]1([H])[C@H](NC([C@@H](C2=CC=C(C=C2)O)N)=O)C(=O)NCCCC[C@@H](C(=O)O)N)(C)C)C(O)=O	JWADYUAJQSFISV-IPXJXJKCSA-N	
C22H32N4O6S	N1[C@H](C(S[C@]1([H])[C@H](NC(CC2=CC=CC=C2)=O)C(=O)NCCCC[C@@H](C(=O)O)N)(C)C)C(O)=O	WJEDAXQWYZLHII-LKCYJCQHSA-N	
C19H31N7O10S2	[C@H](NC(=O)/C(/C1=CSC(=N1)N)=N\OC(C(=O)O)(C)C)([C@H](C)NS(O)(=O)=O)C(=O)NCCCC[C@@H](C(=O)O)N	DJXBNNDQGAISJX-ADHBCBEZSA-N	
C29H40N2O9	CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O	QTQAWLPCGQOSGP-KSRBKZBZSA-N	
C44H69NO12	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@H]([C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC)[C@H](C[C@H]2C)OC	QJJXYPPXXYFBGM-LFZNUXCKSA-N	
C38H46N2O4	CCc1c(C)c2c([C@@H](C)C[C@@]2(C)O)c(C)c1C1=C\C(C(=O)N1)=C1\C=C(NC1=O)c1c(C)c2[C@H](C)C[C@](C)(O)c2c(C)c1CC	BIILLAVODXFDEL-NBGPHLIOSA-N	
C35H48ClN3O10S	CO[C@@H]1\C=C\C=C(C)\Cc2cc(OC)c(Cl)c(c2)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCS)[C@]2(C)O[C@H]2[C@H](C)[C@@H]2C[C@@]1(O)NC(=O)O2	ANZJBCHSOXCCRQ-FKUXLPTCSA-N	
C22H31NO4	C1C[C@H](C[C@@]2([C@@]1([C@@]([C@@](C=C2)(/C=C/C)[H])(\C(\O)=C/3\C(N([C@H](C3=O)CO)C)=O)C)[H])[H])C	QNQBPPQLRODXET-HMHJLHGTSA-N	
C16H21N3O8S	[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O	HOKIDJSKDBPKTQ-GLXFQSAKSA-N	
C31H53NO8	CC[C@H]1C[C@@H](C)C(=O)\C=C\C(C)=C\[C@H](C)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)[C@@H](O)[C@@H]([C@H]1O)N(C)C	BMKVJAXXBOWJEE-BPFVPZITSA-N	
C19H14O5	C[C@]1(O)CC(=O)c2c(C1)ccc1C(=O)c3c(O)cccc3C(=O)c21	UGEKKXLEYACFTD-LJQANCHMSA-N	
C18H19N3O6S	[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1)C(O)=O	FUBBGQLTSCSAON-PBFPGSCMSA-N	
C8H9NO5	[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO	HZZVJAQRINQKSD-PBFISZAISA-N	
C30H38N2O7	CCCCC(C)\C=C(C)\C=C\C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2=C(O)CCC2=O)[C@H](O)CC1=O	WDPVYGCEBGDANZ-CXLBDHTJSA-N	
C31H51NO9	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)\C=C\C(C)=C\[C@@H]1C	FERSDKADYZRIAA-CQGKBTLCSA-N	
C31H51NO10	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)\C=C\C(C)=C\[C@@H]1CO	WGUJDBLMJBJUQU-VKRLOHBMSA-N	
C31H51NO9	[C@@H]1([C@H](C[C@H](C(C=CC(=C[C@@H]([C@H](OC(C[C@H]([C@@H]1C)O)=O)CC)C)C)=O)C)CC=O)O[C@H]2[C@H](O)[C@H]([C@@H]([C@H](O2)C)O)N(C)C	FERSDKADYZRIAA-CQGKBTLCSA-N	
C32H26O14	C[C@H]1O[C@H](CC(O)=O)CC2=C1C(=O)C1=C(C(O)=CC(=C1O)C1=C(O)C3=C(C(O)=C1)C(=O)C1=C([C@@H](C)O[C@H](CC(O)=O)C1)C3=O)C2=O	VTIKDEXOEJDMJP-WYUUTHIRSA-N	
C15H18N4O4S	[H][C@]12[C@@H](C)C(SC3Cn4cnc[n+]4C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C([O-])=O	MRMBZHPJVKCOMA-YJFSRANCSA-N	
C43H42ClN3O13	[H][C@@]1(O[C@]23C=CC=C2C#CC2=CC#C[C@@]3([H])OC3=C(Cl)C=C(C=C3O)[C@@H](N)CC(=O)OC[C@@H]2OC(=O)C2=CC(OC)=CC3=C2NC(=O)C(=C)O3)OC(C)(C)[C@H]([C@@H](O)[C@H]1O)N(C)C	DGGZCXUXASNDAC-QQNGCVSVSA-N	
C16H19N3O4S	[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O	RDLPVSKMFDYCOR-UEKVPHQBSA-N	
C55H59N5O20	CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4c[nH]c(C(=O)Nc5c(O)c6ccc(O[C@@H]7OC(C)(C)[C@H](OC)[C@@H](OC(=O)c8ccc(C)[nH]8)[C@H]7O)c(C)c6oc5=O)c4C)c(=O)oc3c2C)OC1(C)C	WTIJXIZOODAMJT-DHFGXMAYSA-N	
C40H68O11	[H][C@@]1(CC[C@H](C)[C@@]([H])(O1)[C@@H](C)C(O)=O)C[C@@H]1C[C@@H](OC)[C@@H](C)[C@]2(O1)O[C@@](C)(C[C@H]2C)[C@@]1([H])CC[C@](C)(O1)[C@]1([H])O[C@]([H])(C[C@@H]1C)[C@@]1([H])O[C@@](O)(CO)[C@H](C)C[C@@H]1C	DANUORFCFTYTSZ-SJSJOXFOSA-N	
C47H75NO17	CC1OC(=O)CC(O)CC(O)CC(O)CCC(O)C(O)CC(=O)CC(O)C(C(O)CC(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)\C=C\C=C\C=C\C=C\CC\C=C\C=C\C(C)C(O)C1C)C(O)=O	ZDFDJJJGIRGMBE-AFARJNEBSA-N	
C13H10N2O	C[N+]1=C2C=CC=CC2=NC2=C1C=CC=C2[O-]	YNCMLFHHXWETLD-UHFFFAOYSA-N	
C14H36Cl2N2O12	O.O.O.O.O.Cl.Cl.CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O	DCHJOVNPPSBWHK-UXXUFHFZSA-N	
C25H22N4O8	COc1ccc(c(O)c1OC)-c1c(C)c(nc(c1N)-c1ccc2C(=O)C(OC)=C(N)C(=O)c2n1)C(O)=O	PVYJZLYGTZKPJE-UHFFFAOYSA-N	
C8H15N3O7	CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O	ZSJLQEPLLKMAKR-GKHCUFPYSA-N	
C17H13N3O5S2	C1(=C(C=CC=C1)C(=O)O)C(NC2=CC=C(S(NC3=NC=CS3)(=O)=O)C=C2)=O	PBMSWVPMRUJMPE-UHFFFAOYSA-N	
C44H73NO17	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)\C=C\C(\C)=C\[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1O	ALZAOGATQMXJKX-UQRCBBHQSA-N	
C45H75NO17	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)\C=C\C(\C)=C\[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC	UFUYRGNJTFAODM-HQCAVAADSA-N	
C22H29N7O5	COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O)n2cnc3c(ncnc23)N(C)C)cc1	RXWNCPJZOCPEPQ-NVWDDTSBSA-N	
C43H58N4O12	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(\C=N\N1CCN(C)CC1)c(O)c4c3C2=O	JQXXHWHPUNPDRT-WLSIYKJHSA-N	
C69H107N4O35P	C[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)[C@@H](O[C@@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H]2[C@H](O[C@H](C(O)=O)[C@@](C)(O)[C@@H]2OC(N)=O)OP(O)(=O)OC[C@@H](OC\C=C(/C)CC\C=C\C(C)(C)CCC(=C)C\C=C(/C)CCC=C(C)C)C(O)=O)[C@H](NC(C)=O)[C@@H](O)[C@@H]1O[C@@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(=O)NC1=C(O)CCC1=O	PERZMHJGZKHNGU-JGYWJTCASA-N	
C20H34O7	C[C@H]1C[C@@]2(CO2)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@H]1O	PFDLUBNRHMFBGI-HRVFELILSA-N	
C26H27NO10	C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(Cc2c(O)c3C(=O)c4cccc(O)c4C(=O)c3c(O)c12)C(C)=O	XREUEWVEMYWFFA-CSKJXFQVSA-N	
C35H59NO13	CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C	XYJOGTQLTFNMQG-KJHBSLKPSA-N	
C20H40N4O10	CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]1[C@H](N)C[C@H](N)[C@@H](O[C@H]2O[C@H](C(C)O)[C@@H](O)[C@H](O)[C@H]2N)[C@@H]1O	BRZYSWJRSDMWLG-CAXSIQPQSA-N	
C39H49NO16	[H][C@@]12OC3=C(C=C(O)C4=C3C(=O)C3=C(C(O)=C5[C@H](C[C@](C)(O)[C@H](C(=O)OC)C5=C3)O[C@@H]3O[C@@H](C)[C@H](OC)[C@@](C)(OC)[C@H]3OC)C4=O)[C@@](C)(O1)[C@H](O)[C@H]([C@@H]2O)N(C)C	KGTDRFCXGRULNK-JYOBTZKQSA-N	
C14H18N4O3	C=1(CC=2C(=NC(N)=NC2)N)C=C(C(OC)=C(C1)OC)OC	IEDVJHCEMCRBQM-UHFFFAOYSA-N	
C13H18N2O4S2	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CSCC=C)C(O)=O	QULKGELYPOJSLP-WCABBAIRSA-N	
C11H13N3O3S	Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C	CYFLXLSBHQBMFT-UHFFFAOYSA-N	
C6H6O2	CC(=O)c1ccco1	IEMMBWWQXVXBEU-UHFFFAOYSA-N	
C12H18N2O7	C[C@](O)(CO)[C@H](O)[C@@]12NC(=O)[C@@](O)(NC1=O)C(=C)CCO2	WOUDXEYYJPOSNE-VKZDFBPFSA-N	
C45H68N2O16	[H][C@@]1(C[C@]2(C)[C@]([H])(CC[C@@]3(C)[C@H](C[C@H](OC)[C@H](N)C(O)=O)C(C)=CC[C@]23[H])C(C)(C)[C@@H]1O)O[C@@H]1O[C@@H](C)[C@H](OC(=O)c2cccc(O)c2)[C@@H](O[C@]2([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@H]1O	SAZHWKBRJJLWKC-YFSQLXLCSA-N	
C57H98O24	[H][C@]12C[C@@H](O)C[C@@H](CCC[C@H](O)[C@]3([H])O[C@@]3([H])[C@H](C)[C@]([H])(OC(=O)\C=C\C[C@H](O)C[C@H](O)C[C@@H](O)CC[C@@H](C)[C@H](O)C[C@](O)(O1)[C@H](O)[C@@H](O)C2)[C@@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)O[C@H]1C[C@H](OC(=O)CCCC)[C@H](O)[C@H](C)O1)OC(=O)CC(O)=O	MVSIZSYJQDRVAV-XMTLADTRSA-N	
C59H104O23	[H][C@]12C[C@@H](O)C[C@@H](CCC[C@H](O)[C@]3([H])O[C@@]3([H])[C@H](C)[C@]([H])(OC(=O)\C=C\C[C@H](O)C[C@H](O)C[C@@H](O)CC[C@@H](C)[C@H](O)C[C@](O)(O1)[C@H](O)[C@@H](O)C2)[C@@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)O[C@H]1C[C@H](OC)[C@H](OC)[C@H](C)O1)OC(=O)C(CCCC)C(=O)OC	AXFOSMASHUQEMX-QWVZVQMISA-N	
C45H64O18	[H][C@]1(O[C@@H](O[C@]2([H])[C@@H](CO)O[C@@H](Oc3c(O)cc(O)cc3CO)[C@H](O)[C@H]2OC(=O)\C=C\C=C\CC(O)\C=C\C=C\CCCCC)[C@H](O)[C@H]1O)[C@H](O)COC(=O)\C=C\C=C/CCC(O)CC	YMDCFNDLUOCAGK-WTKRVALCSA-N	
C38H34N6O8	COc1c(O)c2N(CCc2c2cc([nH]c12)C(=O)N1CCc2c1c(O)c(OC)c1[nH]c(cc21)C(=O)N1CC2CC22C1=CC(=O)c1[nH]cc(C)c21)C(C)=O	XUBJLJZOSKJNMY-UHFFFAOYSA-N	
C30H48N2O7	CC(C\C=C\C=C/CCC(=C)CC(C)C\C(C)=C\C(O)=O)CC(=O)CC(O)CNC(=O)C(C)C(C)OC(N)=O	GENAAYFYLGYPIQ-JOPGMDTFSA-N	
C30H48N2O7	CC(C\C=C\C=C\CCC(=C)CC(C)C\C(C)=C\C(O)=O)CC(=O)CC(O)CNC(=O)C(C)C(C)OC(N)=O	GENAAYFYLGYPIQ-FFPWVZAVSA-N	
C29H46N2O7	CC(C\C=C\C=C/CCC(=C)CC(C)C\C(C)=C\C(O)=O)CC(=O)CC(O)CNC(=O)CC(C)OC(N)=O	VWVAAKIWHSCMIW-YHKKGOIFSA-N	
C28H27NO12	[H][C@@]1(CC[C@H](O)[C@H](C)O1)O[C@@]12CO[C@]3(CC(=O)O[C@@]13C(=O)c1c(O)c3c4CN(C)C(=O)c4c(O)cc3cc1C2=O)OC	XFQJOLWXLJXJSV-VUAGTGNDSA-N	
C62H97NO18S	CC(\C=C\CC\C=C\C=C\C=C(/C)C(O)=O)[C@H](O)[C@@H](C)[C@H](O)\C=C\C=C\C=C\C=C\C=C\C=C\CC(OS(O)(=O)=O)C(C)C(=O)C[C@H](O)C[C@H](O)\C=C\C[C@H](O)C[C@@H](O)C[C@H](O)\C=C\C[C@@H](O)C[C@H](O)\C=C\C[C@@H](O)C[C@@H](O)CCCN	RDEZRSOXSQHNOU-SMVKTZMVSA-N	
C62H97NO15	CC(\C=C\CC\C=C\C=C\C=C(/C)C(O)=O)[C@H](O)[C@@H](C)[C@H](O)\C=C\C=C\C=C\C=C\C=C\C=C\CC(O)C(C)C(=O)C[C@H](O)C[C@H](O)\C=C\C[C@H](O)C[C@@H](O)C[C@H](O)\C=C\C[C@@H](O)C[C@H](O)\C=C\C[C@@H](O)C[C@@H](O)CCCN	NVVJCDZZKMPNHL-LMFUHVRBSA-N	
C8H6N4O5	C1(N(/N=C/C=2OC(=CC2)[N+]([O-])=O)CC(N1)=O)=O	NXFQHRVNIOXGAQ-YCRREMRBSA-N	
C34H48N2O6	CC(C)CC(O)C(=O)NC\C=C\C=C/C=C/C(C)=C/C=C\C=C(\C)C(O)CC(=O)N\C(C)=C/C=C/C=C/C(C)C(O)=O	KDQMRYTZELJKOB-MAHROAIDSA-N	
C35H47NO9	[H][C@]12CC(=O)O[C@]([H])(C1)[C@H](C)\C=C\[C@@]1([H])O[C@]1(C)[C@@H](O)C[C@]([H])(OC(=O)[C@]1([H])O[C@@]1([H])C2)[C@H](C)[C@@H](OC)C(\C)=C\C=C\C(C)=C\c1coc(C)n1	OWPCHSCAPHNHAV-QIPOKPRISA-N	
C42H55NO15	CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CC[C@H](O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3cc2[C@H]1C(=O)OC	CPUWOKRFRYWIHK-BPPBZOKFSA-N	
C42H51NO15	CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@@H]4O[C@@H](C)C(=O)C=C4)[C@H](C)O3)[C@H](C)O2)N(C)C)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3cc2[C@H]1C(=O)OC	ADCDIHNCUQOKFP-SVEJIMAYSA-N	
C29H38N2O4	C1=C[C@@]2([C@@]([C@@]3([C@]1([C@@]4([C@](C3)([H])C=CC(C=5C(=O)N[C@@](CCCNC(C=CC4)=O)(C5O)[H])=O)[H])[H])[H])(C[C@H]([C@H]2CC)C)[H])[H]	WSUGGLXIPUHOSG-QOMLVTEJSA-N	
C58H44Cl3N7O18	N[C@@H]1c2ccc(O)c(Oc3cc(O)cc(c3)[C@@H]3NC(=O)[C@H](Cc4ccc(Oc5cc6cc(Oc7ccc(cc7Cl)[C@@H](O)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]6NC3=O)c3cc(Cl)c(O)c(c3)-c3c(O)cc(O)cc3[C@@H](NC7=O)C(O)=O)c5O)c(Cl)c4)NC1=O)c2	KJTFTWQSEBLIPM-RIZHWKQXSA-N	
C49H85NO14	CC[C@@H](O)C[C@H]1CCC[C@@]2(C[C@@H]3OC(=O)\C=C\[C@@](C)(O)[C@@H](O)[C@H](C)[C@@H](O)[C@H](O[C@H]4CC[C@@H]([C@H](C)O4)N(C)C)[C@@H](O)[C@](C)(O)CCCCC\C=C\[C@@H]4CC(C)(C)O[C@@]4(O)C[C@H](O2)[C@H]3C)O1	XGECDDPXIKFBTE-AUFVQPSPSA-N	
C28H43NO6	C[C@H]1C[C@@H](C)C[C@H](C)[C@@H](O)\C(=C/C=C/C[C@@H](OC(=O)C[C@H](O)[C@@H](C)C1)[C@@H]1CCC[C@H]1C(O)=O)C#N	OJCKRNPLOZHAOU-JTHVHBRGSA-N	
C14H25N3O9	C[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](N)C[C@@H]1NC(=N)C(O)=O	PVTHJAPFENJVNC-MHRBZPPQSA-N	
C20H25N3O	CCCCCC1=C\C(=C\c2[nH]c(cc2OC)-c2ccc[nH]2)N=C1C	SZXDNGVQRDTJSD-VBKFSLOCSA-N	
C22H36N6O17P2	CC(C)[C@@H](O)[C@H](O)C(=O)NP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NP(O)(=O)OC3O[C@@H]([C@H](O)CO)[C@H](O)[C@H]3O)ncnc12	YNCRAYSPLQSJIP-JHNPATRKSA-N	
C14H16N4O5S	COc1cc(OC)nc(NS(=O)(=O)c2ccc(NC(C)=O)cc2)n1	DQWIIKBKAIPUPY-UHFFFAOYSA-N	
C14H16N4O3S	CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1nc(C)cc(C)n1	LJKAKWDUZRJNPJ-UHFFFAOYSA-N	
C31H33NO9	COc1cc(C=C)cc2c1c1cc(OC)c3c(O)ccc(C4O[C@H](C)[C@H](OC(C)=O)[C@@H]([C@H]4O)N(C)C)c3c1oc2=O	GHLIFBNIGXVDHM-VQXSZRIGSA-N	
C43H74N2O14	CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O[C@H]2CC[C@@H]([C@H](C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C	ACTOXUHEUCPTEW-KWBWCIJSSA-N	
C16H19N3O6	COC1=C(C)C(=O)C2=C([C@@H](COC(N)=O)[C@@]3(OC)[C@H]4N[C@H]4CN23)C1=O	HYFMSAFINFJTFH-NGSRAFSJSA-N	
C18H38N6O7	CO[C@@H]1CO[C@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)C[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@H]1N	HJKXMQLJTKUBMG-BAOVJYBRSA-N	
C31H51NO9	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)\C=C\[C@]2(C)O[C@H]2[C@@H]1C	IUPCWCLVECYZRV-JZMZINANSA-N	
C53H62N10O14S2	CS[C@@H]1SC[C@@H]2N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]3(C[C@@H]3C)N(C)C(=O)[C@H]1N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]1(C[C@@H]1C)N(C)C2=O)NC(=O)c1nc2ccccc2cc1O)NC(=O)c1nc2ccccc2cc1O	HBQDLHJADJTNRK-LIXMYSHJSA-N	
C55H66N10O14S2	CC(C)S[C@@H]1SC[C@@H]2N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]3(C[C@@H]3C)N(C)C(=O)[C@H]1N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]1(C[C@@H]1C)N(C)C2=O)NC(=O)c1nc2ccccc2cc1O)NC(=O)c1nc2ccccc2cc1O	HDMUZLQWDPUHND-PGKBBLNOSA-N	
C56H68N10O14S2	CCC(C)S[C@@H]1SC[C@@H]2N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]3(C[C@@H]3C)N(C)C(=O)[C@H]1N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]1(C[C@@H]1C)N(C)C2=O)NC(=O)c1nc2ccccc2cc1O)NC(=O)c1nc2ccccc2cc1O	VABRZWDEEDQLRD-VGGJGGOJSA-N	
C34H53O8.Na	[Na+].[H][C@@]1(O[C@@](CC)(C[C@@H]1C)[C@@]1([H])CC[C@](O)(CC)[C@H](C)O1)[C@@H](CC)C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCC1=C(C([O-])=O)C(O)=C(C)C=C1	RDHDUYAKDYQPEW-HWLWSTNVSA-M	
C11H13N3O3S	Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C	NHUHCSRWZMLRLA-UHFFFAOYSA-N	
